date,tasa_de_interes
2002-03-08,9.0728
2002-03-11,9.0703
2002-03-12,9.0753
2002-03-13,9.1153
2002-03-14,9.1182
2002-03-15,9.0929
2002-03-18,9.0733
2002-03-19,9.0742
2002-03-20,9.0707
2002-03-22,9.0403
2002-03-25,9.0298
2002-03-26,9.0243
2002-03-27,9.016
2002-04-01,9.0049
2002-04-02,8.998
2002-04-03,9.0398
2002-04-04,9.0468
2002-04-05,9.0266
2002-04-08,9.0217
2002-04-09,9.0422
2002-04-10,9.0446
2002-04-11,9.0771
2002-04-12,9.0749
2002-04-15,9.1714
2002-04-16,9.1597
2002-04-17,9.1904
2002-04-18,9.2345
2002-04-19,9.2247
2002-04-22,9.2663
2002-04-23,9.2698
2002-04-24,9.2908
2002-04-25,9.3528
2002-04-26,9.3196
2002-04-29,9.3542
2002-04-30,9.372
2002-05-02,9.417
2002-05-03,9.4978
2002-05-06,9.4913
2002-05-07,9.4828
2002-05-08,9.417
2002-05-09,9.4463
2002-05-10,9.5102
2002-05-13,9.4933
2002-05-14,9.5204
2002-05-15,9.4717
2002-05-16,9.4863
2002-05-17,9.471
2002-05-20,9.491
2002-05-21,9.5133
2002-05-22,9.5245
2002-05-23,9.5165
2002-05-24,9.5585
2002-05-27,9.57
2002-05-28,9.5586
2002-05-29,9.6134
2002-05-30,9.7148
2002-05-31,9.6562
2002-06-03,9.6398
2002-06-04,9.706
2002-06-05,9.7345
2002-06-06,9.776
2002-06-07,9.7412
2002-06-10,9.6993
2002-06-11,9.6607
2002-06-12,9.7035
2002-06-13,9.6532
2002-06-14,9.6684
2002-06-17,9.6078
2002-06-18,9.6258
2002-06-19,9.6983
2002-06-20,9.7676
2002-06-21,9.9473
2002-06-24,9.936
2002-06-25,9.8203
2002-06-26,9.9998
2002-06-27,9.9615
2002-06-28,9.9568
2002-07-01,9.9283
2002-07-02,9.9612
2002-07-03,9.967
2002-07-04,9.9502
2002-07-05,9.9034
2002-07-08,9.9223
2002-07-09,9.8552
2002-07-10,9.8338
2002-07-11,9.7979
2002-07-12,9.7072
2002-07-15,9.7522
2002-07-16,9.7345
2002-07-17,9.6468
2002-07-18,9.6462
2002-07-19,9.7053
2002-07-22,9.6285
2002-07-23,9.613
2002-07-24,9.7018
2002-07-25,9.7158
2002-07-26,9.7652
2002-07-29,9.6944
2002-07-30,9.741
2002-07-31,9.7861
2002-08-01,9.8769
2002-08-02,9.8412
2002-08-05,9.7928
2002-08-06,9.7473
2002-08-07,9.7348
2002-08-08,9.7335
2002-08-09,9.764
2002-08-12,9.8402
2002-08-13,9.9512
2002-08-14,9.9668
2002-08-15,9.9292
2002-08-16,9.8643
2002-08-19,9.7747
2002-08-20,9.7713
2002-08-21,9.7854
2002-08-22,9.8388
2002-08-23,9.8488
2002-08-26,9.8267
2002-08-27,9.8543
2002-08-28,9.899
2002-08-29,9.9193
2002-08-30,9.9109
2002-09-02,9.9187
